" ","StudentComments","Rating","totalwords","Sentiment"
"40376","he is a excellent teacher and i like most","3.92","9","positive"
"40377","he is a good teacher","4.79","5","positive"
"40378","he is a good teacher.","4.83","5","positive"
"40379","he is good teacher i love him","4.71","7","positive"
"40380","he should know that student understand the lecture or not .i think maximum student donot understand the lecture as well as i also want to say it is not his fault. subject is boring what can he do!!!!!!!!!!!!!!","4.22","38","positive"
"40381","no comments.","4.21","2","positive"
"40382","not friendly at all.","5","4","positive"
"40383","such a good teacher he is","4.88","6","positive"
"40384","thank u sir","5","3","positive"
"40385","very helpful.","4.54","2","positive"
"40386","well,but some problem","5","3","positive"
"40387","at the beginning i had bad idea about this subject.but still i find .he is a nice teacher.","4.71","18","positive"
"40388","good","5","1","positive"
"40389","good in teaching","5","3","positive"
"40390","good teacher but not friendly","4.17","5","positive"
"40391","good teacher.","5","2","positive"
"40392","good","5","1","positive"
"40393","he is a good teacher","4.83","5","positive"
"40394","he is a good teacher","5","5","positive"
"40395","he is a good teacher.","4.13","5","positive"
"40396","he is agood teacher","5","4","positive"
"40397","he is good .","4.92","4","positive"
"40398","why r u so strict to the students ? but ur a very good teacher , i see.","5","18","positive"
"40399","j","1.04","1","negative"
"40400","good","5","1","positive"
"40401","good teacher","4.83","2","positive"
"40402","he is a good teacher","4.58","5","positive"
"40403","he is a good teacher","5","5","positive"
"40404","he is a good teacher what student wants.","4.67","8","positive"
"40405","he is a good teacher,tough a beat hursh wid the students.","5","11","positive"
"40406","he is a good teacher.","4.67","5","positive"
"40407","he is a master of management.","4.83","6","positive"
"40408","he is good","4.58","3","positive"
"40409","he is not a good person at all","1","8","negative"
"40410","ok","2.92","1","negative"
"40411","best one","4.83","2","positive"
"40412","class is not enjoyable.","3","4","neutral"
"40413","excellent teacher.","5","2","positive"
"40414","good","5","1","positive"
"40415","good","5","1","positive"
"40416","he is a good teacher.","4.92","5","positive"
"40417","his teaching style is tremendous.but have to show some flexibility about the grading process.","4.79","14","positive"
"40418","not bad","1.51","2","negative"
"40419","good teacher","3.75","2","positive"
"40420","he is a very good teacher.","3.71","6","positive"
"40421","he is a excelent teacher","4.83","5","positive"
"40422","he is a good teacher.","4.42","5","positive"
"40423","he is one of the best teacher","5","7","positive"
"40424","maksud sir is a great teacher","4.67","6","positive"
"40425","no comments.","4.29","2","positive"
"40426","truly porfessional","4.29","2","positive"
"40427","a nice teacher having a strong personality:: weating for such teacher","4.67","11","positive"
"40428","good","5","1","positive"
"40429","good","4.78","1","positive"
"40430","good","4.83","1","positive"
"40431","good teacher","5","2","positive"
"40432","good teacher","5","2","positive"
"40433","he has in-depth knowledge in mm and his way of teaching is nice.","4.83","13","positive"
"40434","he is a good teacher","5","5","positive"
"40435","he is a good teacher. he always takes care about us.","4.83","11","positive"
"40436","he is a nice person","3.67","5","positive"
"40437","he is excellent","5","3","positive"
"40438","he's a good teacher","4.71","4","positive"
"40439","his teaching method is quite fine and ok.","5","8","positive"
"40440","learning process is good but he should give more marks to student for keeping a good cgpa","4.38","17","positive"
"40441","rational nam.","5","2","positive"
"40442","thats a very good teacher","4.92","5","positive"
"40443","good","4.57","1","positive"
"40444","he is a good teacher. i like him very much.","4.5","10","positive"
"40445","he is a moderate teacher.","3.83","5","positive"
"40446","he is a very good teacher","5","6","positive"
"40447","he is nice","3.17","3","neutral"
"40448","nice","4.63","1","positive"
"40449","she is a good teacher.","3.83","5","positive"
"40450","she is an active.","5","4","positive"
"40451","she is nice, well mannered teacher and a nice person also.she makes our lessons very easy. she is doing her works for aiub properly.","4.63","24","positive"
"40452","wonderful, tallentful madam.","3.88","3","positive"
"40453","good teacher","5","2","positive"
"40454","he is a good person.","4.67","5","positive"
"40455","he is a good teacher","2.58","5","negative"
"40456","he is a good teacher because he always try to talk about our lessons with easy ways.","2.88","17","negative"
"40457","he is a good teacher.","5","5","positive"
"40458","he is a good teacher.","5","5","positive"
"40459","he is a good teacher.he always try to help us for read.","4.17","12","positive"
"40460","i like u sir","3.7","4","positive"
"40461","i think he is very good teacher and his teaching methood is very very good","4.33","15","positive"
"40462","she is a good teacher","5","5","positive"
"40463","she is a good teacher.","4.67","5","positive"
"40464","she is a good teacher.","4.83","5","positive"
"40465","he is a good teacher.","4.39","5","positive"
"40466","he is a good teacher.","3.29","5","neutral"
"40467","he is the symple the best on his subject","4.08","9","positive"
"40468","he takes care of us","5","5","positive"
"40469","miss you are too good.but our ques should be easier than now.","3.58","12","positive"
"40470","she is a very good faculty for everybody.","4.38","8","positive"
"40471","she is a very good teacher.","4.96","6","positive"
"40472","she is best at her work, but she need to help those student which dont have scince back ground.","3.88","19","positive"
"40473","she is exellent and a good teacher.","3.75","7","positive"
"40474","she is preety good.","3.96","4","positive"
"40475","he is a excelent teacher.","4.79","5","positive"
"40476","he is all sides to be good","4.13","7","positive"
"40477","he is good teacher.","5","4","positive"
"40478","he is good teaching","4.58","4","positive"
"40479","he is overall a very good teacher.","5","7","positive"
"40480","he is very good teacher.","3.58","5","positive"
"40481","provide with good notes.","5","4","positive"
"40482","you r good teacher","4.04","4","positive"
"40483","he is a good teacher","2.91","5","negative"
"40484","he is a good teacher.","4.83","5","positive"
"40485","he is a good teacher.","5","5","positive"
"40486","he is a very god teacher.and he knows his works very well.","4.88","12","positive"
"40487","he is overall a good teacher.he always try to clear students problem on the subject.","4.71","15","positive"
"40488","miss is guud.","4.67","3","positive"
"40489","no coments","3.88","2","positive"
"40490","she ia a good teacher.","4.5","5","positive"
"40491","she ia a very good teacher with a sweet smile.","4.83","10","positive"
"40492","teaching is well.","4.67","3","positive"
"40493","best","4.67","1","positive"
"40494","best teacher in aiub","3.83","4","positive"
"40495","good","4.17","1","positive"
"40496","he is a good teacher.","2.46","5","negative"
"40497","he is a good teachers for our aiub","4","8","positive"
"40498","he is a very nice teacher in our aiub university.cos he is very careful on all student.","4.42","17","positive"
"40499","he is very good","4.83","4","positive"
"40500","he is very good course instructor.","4.67","6","positive"
"40501","sarfuddin sir is not that much good teacher .","2.25","9","negative"
"40502","she is a asset for aiub.","5","6","positive"
"40503","she is a good teacher.","5","5","positive"
"40504","she is the best teacher for basic in natural science.","4.04","10","positive"
"40505","she is very nice person,and she always help student,what ever their problem.","4.58","12","positive"
"40506","behavior towards student very much positive.","4.75","6","positive"
"40507","good","3.54","1","positive"
"40508","he is a good teacher","5","5","positive"
"40509","he is a good teacher","3","5","neutral"
"40510","he is a good teacher","3.33","5","neutral"
"40511","he is a good teacher","3","5","neutral"
"40512","he is a good teacher.","4.38","5","positive"
"40513","he is a veryyyyyyyyyy good teacher and a knowledgable one]","4.42","10","positive"
"40514","he is good and helpfull for us.","2.92","7","negative"
"40515","he is not only a good teacher but also a good instructor.","5","12","positive"
"40516","he make me understand about all matter.i like him very much.","5","11","positive"
"40517","she is an very good teacher, it will be helpful if she help more those who are not from scince background.","3.71","21","positive"
"40518",".i enjoy her teaching methods.","3.61","5","positive"
"40519","good","5","1","positive"
"40520","has rich knowledge and skills to teach students.","4.71","8","positive"
"40521","he ia a nice teacher&nice person.","4.83","6","positive"
"40522","he is a good teacher","3.96","5","positive"
"40523","he is a good teacher.","4.21","5","positive"
"40524","he is a good teacher.","2.92","5","negative"
"40525","helpful teacher for students","4.67","4","positive"
"40526","in one word he is a nice teacher.","4.33","8","positive"
"40527","nice teacher","3.83","2","positive"
"40528","she is a good lacturar.","3.04","5","neutral"
"40529","good teacher","3","2","neutral"
"40530","good teacher","4.75","2","positive"
"40531","he is a good teacher","5","5","positive"
"40532","he is a good teacher.","3.67","5","positive"
"40533","he is helpful and have a well personality.","5","8","positive"
"40534","he is very good","4.83","4","positive"
"40535","he's ok","3.38","2","neutral"
"40536","madum is super","5","3","positive"
"40537","she is a good teacher.","3.96","5","positive"
"40538","she is my most favourit teacher. i like her a lot. dam good teacher. most sweetest teacher too. mam i like u a lot.rilly.","4.5","24","positive"
"40539","very fine teacher","4.45","3","positive"
"40540","fair","3.46","1","neutral"
"40541","good","5","1","positive"
"40542","good teacher","5","2","positive"
"40543","good teacher.","5","2","positive"
"40544","it was excellent in the class.i learn something.","4.58","8","positive"
"40545","she is a good teacher.","5","5","positive"
"40546","she is a very nice person and a teacher aswell","4.63","10","positive"
"40547","she is fine but need to improve her lecture style & materials.","3.33","12","neutral"
"40548","very understanding and cooperative.","4.38","4","positive"
"40549","best teacher","4.33","2","positive"
"40550","good","4.79","1","positive"
"40551","he is a good teacher","5","5","positive"
"40552","he is a good teacher,of course.we,all the students,enjoy his class very much.we support him to take the class of us.","4.25","20","positive"
"40553","he is very good course instructor.","4.67","6","positive"
"40554","pretty good","3.54","2","positive"
"40555","she is excellent in teaching and praises students if they does good in the class participation.","4.67","16","positive"
"40556","she is nice and pretty","4.33","5","positive"
"40557","the instructor's teaching style is suitable only for the students with science background.","3.29","13","neutral"
"40558","as i havn't interacted 2 him too personaly, so no comments . but a gud faculty .!","3.42","17","neutral"
"40559","good","4.83","1","positive"
"40560","good","3","1","neutral"
"40561","good","5","1","positive"
"40562","he is a good teacher.","4.54","5","positive"
"40563","he's good.","5","2","positive"
"40564","she is a good teacher","5","5","positive"
"40565","she is a nice teacher","5","5","positive"
"40566","she is very good teacher. she is very help ful. she always help the student.she is very kind.her teaching style is very nice.","3.92","23","positive"
"40567","she is very understanable for us","4.38","6","positive"
"40568","a good teacher","4.75","3","positive"
"40569","a very nice person.and a good teacher indeed.","5","8","positive"
"40570","become angry when we ask question ? need to change teaching technique.","4.67","12","positive"
"40571","good","4.83","1","positive"
"40572","he gives lecture as like in the book nothing more than book.but he gives so difficult questions in class tests which are based on clear conception,but he does not provid us such a clear concepts.","4.38","35","positive"
"40573","he is a good teacher","5","5","positive"
"40574","he is a very good teacher.","4.67","6","positive"
"40575","he is a very good teacher.he is trying his best to understand all class lecture to the student.","5","18","positive"
"40576","he is ok.","5","3","positive"
"40577","ok","5","1","positive"
"40578","thank u for u r hard work with us. i think the way u set the qns. on quizes it is very herd for us to get a reasonable marks. obviously we need a good grade.","5","36","positive"
"40579","good teacher","5","2","positive"
"40580","he is a good teacher.","5","5","positive"
"40581","he is good.","5","3","positive"
"40582","he is not bad at all.","2.71","6","negative"
"40583","he is very good teacher.","5","5","positive"
"40584","he should become friendly","2.92","4","negative"
"40585","very hard in quiz","4.83","4","positive"
"40586","fine","5","1","positive"
"40587","good","3.21","1","neutral"
"40588","he","1.75","1","negative"
"40589","he does not have practical knowledge and he behaves a bit rude with the slow students.","3.42","16","neutral"
"40590","he is a good teacher.","5","5","positive"
"40591","he is simple joss","4.67","4","positive"
"40592","a great learning experience.","4.42","4","positive"
"40593","good teacher","3","2","neutral"
"40594","good","4.04","1","positive"
"40595","he is the best teacher.","4.71","5","positive"
"40596","he should knows how to behave with students.","1.17","8","negative"
"40597","nice teacher;;very practical man","4.38","4","positive"
"40598","very good","5","2","positive"
"40599","he is good teacher","3.96","4","positive"
"40600","he is good teacher.","3.83","4","positive"
"40601","he is ok with us","4.79","5","positive"
"40602","his teaching style is good. overall he is a good teacher.","5","11","positive"
"40603","is not energetic in class","3.83","5","positive"
"40604","tough guy.","4.66","2","positive"
"40605","very good","3.3","2","neutral"
"40606","good","4.58","1","positive"
"40607","he is a good teacher","2.63","5","negative"
"40608","he is a good teacher.","5","5","positive"
"40609","he is good","4.58","3","positive"
"40610","his behavior is very bad.he try to insult his student.when any 1 ask any ques.he gets angry .these prov tht he has many lacks.","4.83","24","positive"
"40611","some of us are having our last semester.please pray to allah for our successful future.thanks a lot for all of your helps all through our university life.thanks a lot.","5","29","positive"
"40612","hamidul islam sir's behavior is too much rude!!as a teacher he should not like that!he never listen about student's problem.his teaching style is not also good.i think he shoud improve more.he never try to understand us without some of his favourite students!!","2.54","42","negative"
"40613","he is one of the best","4.63","6","positive"
"40614","he is well for student. but one problem is that he sometimes critisis students that's why students afraid to ask question.","4.66","21","positive"
"40615","nice teacher","3","2","neutral"
"40616","not bad.","4.58","2","positive"
"40617","nothing","5","1","positive"
"40618","his learning system is good but his behaviour is not good.","5","11","positive"
"40619","could be more selfconfident","3.71","4","positive"
"40620","he is a good teacher","4.83","5","positive"
"40621","he is a good teacher","4.67","5","positive"
"40622","he is a very good and experienced teacher.","5","8","positive"
"40623","he is an excellent teacher, actually he was always superb in dbms and in adbms.this is my 3rd time i'm giving this person tbi.so i know him very well. he is a very good teacher.","4.75","35","positive"
"40624","he is very sincere and hardworking person","4.83","7","positive"
"40625","i like him verymuch","5","4","positive"
"40626","may be he is a teacher but he has no quality to teach confidently.he always underestimate the student.always he brings difficulties in the formal quizes.he is not a considerable person.he needs to give oppurtunity to the students.he does not understood the students and does not teaching proper way.he needs to change his mind to the students.","2.96","56","negative"
"40627","he doesnot know enough about database bcz if anyone ask the question then he is angry with the boys.sometimes he insult the student which is also bad.any student may not know any thing but teacher has to remmember that boys are learning and he try to make the question hard and be happy if student donot give the answer.is it a teacher behaviour??? i donot know.","1.72","66","negative"
"40628","he is a teacher with immense experience over the subject matter.","4.75","11","positive"
"40629","he is good in his subject but he can not make properly understanding situation.there is something wrong in his lecture style.i have difficulty in understanding lectures in his classes.he must have to improve his lecture style and to make it understanding to his students","3.25","44","neutral"
"40630","he is good teacher.","2.71","4","negative"
"40631","he is perfect","4.83","3","positive"
"40632","nice teacher","5","2","positive"
"40633","sorry sir . we shall over come","1","7","negative"
"40634","the best teacher in aiub. i take pride of him.","5","10","positive"
"40635","he is a god teacher.","5","5","positive"
"40636","he is a good teacher","5","5","positive"
"40637","he is a good teacher","3","5","neutral"
"40638","he is a goog teacher","5","5","positive"
"40639","he is not bad","4.79","4","positive"
"40640","ok","2.67","1","negative"
"40641","a very talented teacher; but not using all his talents in teaching.","4.29","12","positive"
"40642","good","4.71","1","positive"
"40643","he is a good teacher","4.75","5","positive"
"40644","he is a good teacher","5","5","positive"
"40645","he is a very rude teacher","1.92","6","negative"
"40646","he is the best teacher.","5","5","positive"
"40647","he is very good teacher","5","5","positive"
"40648","good","5","1","positive"
"40649","he is a great teacher . he is cordiall enough to teach the students","5","14","positive"
"40650","he is an excellent and very helpful teacher.may allah give him long and happy life.","5","15","positive"
"40651","best one","4.83","2","positive"
"40652","good teacher","5","2","positive"
"40653","he is a good teacher","5","5","positive"
"40654","he is a good teacher","5","5","positive"
"40655","he is a very good teacher. i wish him a good life!!!","4.58","12","positive"
"40656","he is genius","3","3","neutral"
"40657","he's a good teacher","3","4","neutral"
"40658","good","4.92","1","positive"
"40659","he is a good teacher.","5","5","positive"
"40660","he is a good teacher.","4.83","5","positive"
"40661","he is a good teacher. we like him as a teacher. we r glad.","4.75","14","positive"
"40662","he is a punctual and helpful person","4","7","positive"
"40663","studying was not a interesting subject for me but he proved me wrong.","5","13","positive"
"40664","very very good","5","3","positive"
"40665","he is a good teacher.","4.83","5","positive"
"40666","he is a very good teacher.i like him very much.","4.67","10","positive"
"40667","as a teacher he is sincere, punctual,nice person for us.","4.42","10","positive"
"40668","he is very good teacher.","5","5","positive"
"40669","he is a good teacher in the cs department","4.5","9","positive"
"40670","the most energetic teacher of aiub one of the best coders","5","11","positive"
"40671","best teacher of aiub","5","4","positive"
"40672","he","1.13","1","negative"
"40673","he is a good teacher.","5","5","positive"
"40674","he is good teacher","4.75","4","positive"
"40675","he is good teacher for this course.","5","7","positive"
"40676","very good","4.83","2","positive"
"40677","very good teacher","5","3","positive"
"40678","he is a very good sir.","5","6","positive"
"40679","he is a very good teacher","5","6","positive"
"40680","he is a very very good teacher.","4.25","7","positive"
"40681","he is good","5","3","positive"
"40682","he is the best for this section.","5","7","positive"
"40683","his teaching system is different from our other teacher but it is interesting","4.58","13","positive"
"40684","good","5","1","positive"
"40685","good teacher.","4.67","2","positive"
"40686","good","4.96","1","positive"
"40687","he is a good teacher.","4.96","5","positive"
"40688","he is a good teacher","2.7","5","negative"
"40689","he is a good teacher.","5","5","positive"
"40690","very good.","5","2","positive"
"40691","he is a very serious type teacher","4.67","7","positive"
"40692","he is good teacher","5","4","positive"
"40693","very good teacher.","4.67","3","positive"
"40694","he is aperfect teacher.","5","4","positive"
"40695","he is not good","1.04","4","negative"
"40696","he is the best teacher in our university","4.83","8","positive"
"40697","well he inspired me to start coding","4.58","7","positive"
"40698","good","2.83","1","negative"
"40699","he is a good teacher.","5","5","positive"
"40700","he is good teacher","4.38","4","positive"
"40701","proud to be his student","4.87","5","positive"
"40702","alwayes maintain our quality like as","4.46","6","positive"
"40703","good","3.29","1","neutral"
"40704","good","2.42","1","negative"
"40705","he is a good teacher.","4.54","5","positive"
"40706","he is a good teacher.","3.58","5","positive"
"40707","he is a very good teacher.","4.83","6","positive"
"40708","he is a very very good teacher.","4.83","7","positive"
"40709","he is agood teacher.i like him very much.","4.25","8","positive"
"40710","he is excellent teacher.","3.46","4","neutral"
"40711","he is good teacher.i like his personality.i pray for him.","4.67","10","positive"
"40712","he use very hard ward in his every sheet. though his knowledge about this topic is good. but we do not understand some time.","3.96","24","positive"
"40713","not bad","4.42","2","positive"
"40714","praises or gives approval to desired academic behaviours such as doing assignments, class participation, etc.","4.78","15","positive"
"40715","sir telling so fast some time , thus we cant write suiftly. thats all.but sir teach us nicely.","4.54","18","positive"
"40716","he is a good sir","4.75","5","positive"
"40717","he is a good teacher","5","5","positive"
"40718","he is a good teacher.","2.83","5","negative"
"40719","he is a good teacher.","3.75","5","positive"
"40720","i am very much satisfied with my faculty member","4.54","9","positive"
"40721","nice teacher","3.29","2","neutral"
"40722","no comments.","4.83","2","positive"
"40723","well","2.5","1","negative"
"40724","well","2.67","1","negative"
"40725","biswas,buddha dev sir is very much friendly and helpful.i am proud to learn with him.","4.25","15","positive"
"40726","good","3.42","1","neutral"
"40727","good teacher","4.5","2","positive"
"40728","good teacher and a good person.","4.92","6","positive"
"40729","he does not give enough example at his lesson.i think that class is a one kind of reading class(history)","2.36","19","negative"
"40730","he is a good taecher.","4.58","5","positive"
"40731","he is a intiligent. but his policy of teaching is good","5","11","positive"
"40732","he is good teacher","4.29","4","positive"
"40733","he is good teacher.when i felt any problems he try solve.","2.67","11","negative"
"40734","he is well teacher with good skill.","5","7","positive"
"40735","well","2.79","1","negative"
"40736","he is a good sir. we are happy with him.","3.98","10","positive"
"40737","he is a good teacher","4.83","5","positive"
"40738","he is a good teacher","5","5","positive"
"40739","he is a good teacher, but he dont give sufficient mark if we write one answer in our own language.","2.54","20","negative"
"40740","he is a good teacher.","4.83","5","positive"
"40741","he is a very good teacher","4.83","6","positive"
"40742","he is a very good teacher.","3.5","6","positive"
"40743","he is good and have a good parsonality.","4.79","8","positive"
"40744","he is good teacher.i like his personality.i pray for him.","4.21","10","positive"
"40745","he is good.","4.71","3","positive"
"40746","he is one of my favourite teacher in aiub","4.83","9","positive"
"40747","he is one of the good teacher in aiub","4.71","9","positive"
"40748","he is such teacher.","4.42","4","positive"
"40749","i support him,because he is very responsibelity in this class activity.","3.53","11","positive"
"40750","none","5","1","positive"
"40751","he is a very good teacher","4.92","6","positive"
"40752","good teacher.","3.79","2","positive"
"40753","he does not want give better marks","3.5","7","positive"
"40754","he ia an excelent teacher","5","5","positive"
"40755","he is a good teacher","2","5","negative"
"40756","he is a very good teacher.","4.33","6","positive"
"40757","he is an excellent teacher.","5","5","positive"
"40758","he is great teacher.","4.04","4","positive"
"40759","he is nice person.","5","4","positive"
"40760","he is quite good.","3.04","4","neutral"
"40761","he is very well teacher and friendly","5","7","positive"
"40762","sir don leave the class while taking quiz. students copy from the notes.","1.17","13","negative"
"40763","good teacher.","4.83","2","positive"
"40764","he is a good teacher","4.96","5","positive"
"40765","he is good but greding is not good","4.13","8","positive"
"40766","he is heard one to give us grade. overall he is a good to us. he behaves good to us and encourage us to do well in study.","3.36","28","neutral"
"40767","his performance not bad.","2.96","4","negative"
"40768","mr.biswas, buddha dev is a fantastic teacher and well beheaved.i mostly respect him.","5","13","positive"
"40769","not bad","4.67","2","positive"
"40770","above direction he play regularly, so i suppose he is good.","3.54","11","positive"
"40771","good enough to teach social science.","3.04","6","neutral"
"40772","he is a good teacher. only one thing - grading should be more flexible.","4.5","14","positive"
"40773","he is a nice teacher","3","5","neutral"
"40774","he is a nice teacher.he teach us very good.","4.17","9","positive"
"40775","he is excellent","5","3","positive"
"40776","none","5","1","positive"
"40777","perfectly allright.","4.29","2","positive"
"40778","son of a big ass. and his voice is like a donky. and most most dogy","1","16","negative"
"40779","good","5","1","positive"
"40780","he gives us very clear ideas about the topics.sometimes he also gives us bangla examples for our understanding","4.33","18","positive"
"40781","he is a good sir","5","5","positive"
"40782","he is a good teacher","2.71","5","negative"
"40783","he is a good teacher","4.91","5","positive"
"40784","he is agood teacher thats all","4.21","6","positive"
"40785","he is an active.","5","4","positive"
"40786","he is good teacher","4.75","4","positive"
"40787","he is good teacher. but his teaching method is not so good. he believes on memorization. it is so difficult for the student to memorize every thing. so i request him to change this memorization teaching method.","3","37","neutral"
"40788","he is nice teacher.","5","4","positive"
"40789","he is ok","1.79","3","negative"
"40790","he s a good teacher","3.79","5","positive"
"40791","heis a good teacher","4.83","4","positive"
"40792","i m happy 2 get a teacher like him.he is a nice teacher.","4.67","13","positive"
"40793","mr. biwas is educated in sociology from a bangla medium education system? i am assuming because he hardly speaks bangla and almost never any intresting things to say or hear about a subject like sociology. i feel more backward(people) than i used to be after finishing his classes.","2.47","48","negative"
"40794","my best teacher very intellectual person knows how to teach.need more teachers like him in aiub.","4","16","positive"
"40795","nice as a pwrson but he should be more krful abou managimg class","3.42","13","neutral"
"40796","no comments.","5","2","positive"
"40797","none","5","1","positive"
"40798","nothing","2.83","1","negative"
"40799","sir what can i say about you? it is my fortune that i got a chance to make comment about you. in my life i got very few teacher who have such teaching experiance like you.i liked very much they way you teach.just for few teacher aiub become aiub and you are one of them. so you are star among other aiub's teacher.","4.71","63","positive"
"40800","best teacher of sociology & having good conduct with the students.","5","11","positive"
"40801","good","4.54","1","positive"
"40802","he is a good teacher","3.29","5","neutral"
"40803","he is a very good sir","4.5","6","positive"
"40804","he is not only a good teacher but also a good instructor.","5","12","positive"
"40805","i am happy with my faculty","3.88","6","positive"
"40806","no commands","1.21","2","negative"
"40807","none","5","1","positive"
"40808","very active","5","2","positive"
"40809","we r njoing his cls","4.17","5","positive"
"40810","good","4.5","1","positive"
"40811","good teacher","3","2","neutral"
"40812","he is a good teacher","4.04","5","positive"
"40813","he is a nice man and a very very good teacher.","5","11","positive"
"40814","he is a very good person.he always teach us like a friend.","2.33","12","negative"
"40815","he is a very nice teacher in our aiub university.cos he is very careful on all student.","3.75","17","positive"
"40816","he is good for us.","3.88","5","positive"
"40817","he is very prominent teacher.","4.38","5","positive"
"40818","i think,he is the bestin his department.","3.42","7","neutral"
"40819","i'm satisfied.","4.75","2","positive"
"40820","is a good teacher","4.96","4","positive"
"40821","no","5","1","positive"
"40822","sir is allright. but he needs to be more strict.","3.58","10","positive"
"40823","best","4.96","1","positive"
"40824","good","4.08","1","positive"
"40825","he is a good teacher","4.67","5","positive"
"40826","he is a good teacher","4.83","5","positive"
"40827","he is a good teacher","5","5","positive"
"40828","he is a nice teacher.","4.83","5","positive"
"40829","he is a very very good teacher.his","5","7","positive"
"40830","very good","2.67","2","negative"
"40831","every thing is good.","2.17","4","negative"
"40832","good","4.58","1","positive"
"40833","good and responsiable","4.46","3","positive"
"40834","he is a good teacher.","4.04","5","positive"
"40835","he is a good teacher.","4.5","5","positive"
"40836","he is a nice teacher and a very nice person","4.71","10","positive"
"40837","he is excellent","4.55","3","positive"
"40838","he is good in teaching","4.29","5","positive"
"40839","he is good teacher and well lecturer also. he has a well mind.","4.83","13","positive"
"40840","he is very tough to give us grade. he is very punchual. he never miss class. he comes early in class","3.63","21","positive"
"40841","i think,he is the best one in this depertment.","3.54","9","positive"
"40842","ok u r fine sir.","4.33","5","positive"
"40843","very nice teacher","4.13","3","positive"
"40844","you should change ur tecahing style.for that reason studnet may be improve their result","3.67","14","positive"
"40845","he is a helpful teacher.","4.71","5","positive"
"40846","he is very well teacher","2.09","5","negative"
"40847","good","3.04","1","neutral"
"40848","good","5","1","positive"
"40849","good","3.79","1","positive"
"40850","good teacher","5","2","positive"
"40851","good teacher. thinks for his students.","4.5","6","positive"
"40852","he is a good teacher. i admire him.","5","8","positive"
"40853","he is a very good teacher.","5","6","positive"
"40854","he is an extraordinary teacher.","5","5","positive"
"40855","he is overall a good teacher.","5","6","positive"
"40856","his uttering of sentence is very bad.how can we learn from him.also he always give preference to known student.wast his time with them in the class time.","1.58","27","negative"
"40857","no comments for such a teacher like you","1","8","negative"
"40858","sir is caring,sincere,punctual and a good teacher.","5","7","positive"
"40859","good","4.08","1","positive"
"40860","good but be the best","4.83","5","positive"
"40861","nice good but cant u avoid talking off topics in the class and your known pals .","3","17","neutral"
"40862","no","4.63","1","positive"
"40863","sir more marks plz","3","4","neutral"
"40864","well teacher","5","2","positive"
"40865","he is a good teacher","4.83","5","positive"
"40866","he is a quite good teacher.but his behavior is not good.","3.71","11","positive"
"40867","he is excellent .a teacher like him is very much needed ii programming courses like c,data structure,c++ to improve programming capability of students","4.88","23","positive"
"40868","he is good","5","3","positive"
"40869","he is good enough as a teacher","4.92","7","positive"
"40870","he is good teacher","3.46","4","neutral"
"40871","he is not bad","4.76","4","positive"
"40872","i think he is not that good as he was supposed to be and hope he will do better next time.","2.46","21","negative"
"40873","ok","5","1","positive"
"40874","very strict for grade.but studing style is understable for students.","5","10","positive"
"40875","afterall he is a very good teacher.","1","7","negative"
"40876","good","5","1","positive"
"40877","good","5","1","positive"
"40878","good teacher although i did not get good grade in midterm but he is really good by heaps and bounds.","5","20","positive"
"40879","good","5","1","positive"
"40880","he is a good teacher","4.83","5","positive"
"40881","he is a good teacher","5","5","positive"
"40882","he is good teacher","5","4","positive"
"40883","he is the best.","4.88","4","positive"
"40884","no thanks","2.21","2","negative"
"40885","good","4.96","1","positive"
"40886","good","2.98","1","negative"
"40887","good teacher","3","2","neutral"
"40888","he doesn't have huge idea about ai.","2","7","negative"
"40889","he is a very good teacher.","5","6","positive"
"40890","if i say, hes the best teacher in cs dept. it'll be incomplete, he's the best in aiub.","5","18","positive"
"40891","trying 2 b better","2.19","4","negative"
"40892","good teacher","5","2","positive"
"40893","he is a excellent teacher.","5","5","positive"
"40894","he is a good teacher","5","5","positive"
"40895","no comments. cause comments is not for the teacher like him.","1","11","negative"
"40896","sir is a nice teacher & i like him very much but he should try to improve his pronounsiation a little bit.","4.96","22","positive"
"40897","best","5","1","positive"
"40898","best considerable teacher.","4.83","3","positive"
"40899","excellent","5","1","positive"
"40900","excellent","4.67","1","positive"
"40901","good","5","1","positive"
"40902","he is a nice guy","5","5","positive"
"40903","he is the best teacher in our university.","5","8","positive"
"40904","he should improve in his speaking. he should improve his behave with the students. sometimes students get heart about his behave towards them. he should know the manerism very well. ok thats it. another thing to sir ""not to mesaure all the students with some of the students"". because not everybody is tallentade. some of are week. ok that is all.","1","61","negative"
"40905","n","4.63","1","positive"
"40906","nothing","1","1","negative"
"40907","tough in grading","2.71","3","negative"
"40908","well but very very problemetic","4.25","5","positive"
"40909",".he is ok but sumtimes misterious","4","6","positive"
"40910","good","4.88","1","positive"
"40911","good teacher","4.33","2","positive"
"40912","he is a critical teacher.","2.79","5","negative"
"40913","he is a good teacher","4.83","5","positive"
"40914","he is a good teacher.","5","5","positive"
"40915","he is a good teacher.","5","5","positive"
"40916","he is a good teacher. but after completed his msc from thailand he has become more and more ambitious. and his expectation from students is much more higher. but still i hope he will change the present situation and our cs department will be its glorious position once again.","5","49","positive"
"40917","he is a very helpful teacher.","5","6","positive"
"40918","he is good","4.83","3","positive"
"40919","nice","4.79","1","positive"
"40920","no comments.","4.83","2","positive"
"40921","good","2","1","negative"
"40922","good teacher","5","2","positive"
